loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G)
2018-10-13 13:00:09.957 -0400,1,1539450005.347001,42.39696533709694,-72.52476250328607,81.9389,-1,-1,10,65,-9999,1455.097122791667,0.2993011474609375,-0.01727294921875,-0.9771575927734375,1455.069626791667,-0.337402427589051,0.3419839118548963,-0.002292402848986406,0.03203274682164192,0.1357966661453247,0.05995220318436623,-0.02262690663337708,0.04807686433196068,-0.02164137363433838,XArbitraryZVertical,0.02745694853365421,0.1679341793060303,-0.1656460613012314,0.9713910818099976,0.3353557884693146,0.002292400924488902,-0.9420884251594543
2018-10-13 13:00:09.981 -0400,2,1539450005.347001,42.39696533709694,-72.52476250328607,81.9389,-1,-1,10,65,-9999,1455.122146791667,0.3514404296875,0.0022735595703125,-0.98431396484375,1455.094680791667,-0.338494210265488,0.3419018280074904,0.001297064661854769,0.1501052528619766,0.02335977368056774,0.02703367173671722,0.01091232895851135,0.007553167641162872,-0.02490806579589844,XArbitraryZVertical,0.02928511425852776,0.1675814688205719,-0.1658765524625778,0.9713593125343323,0.3352790772914886,-0.001297064241953194,-0.9421176910400391
2018-10-13 13:00:09.985 -0400,3,1539450005.347001,42.39696533709694,-72.52476250328607,81.9389,-1,-1,10,65,-9999,1455.147201791667,0.3429412841796875,0.002777099609375,-0.9625091552734375,1455.119705791667,-0.3383932213237122,0.3431423239790398,0.002026291730328612,0.0153112169355154,0.03531478717923164,0.03629787266254425,0.01003420352935791,-0.003192216157913208,-0.04162228107452393,XArbitraryZVertical,0.02973362058401108,0.1681248545646667,-0.1657478958368301,0.9712737798690796,0.3364470899105072,-0.002026290399953723,-0.9416998624801636
2018-10-13 13:00:09.992 -0400,4,1539450005.347001,42.39696533709694,-72.52476250328607,81.9389,-1,-1,10,65,-9999,1455.172256791667,0.3335723876953125,0.0066680908203125,-0.9594879150390625,1455.169815791667,-0.3365840617080253,0.3433910269322978,0.001823364823389671,-0.0347902700304985,0.002741963136941195,0.05622098594903946,0.00119394063949585,-8.398294448852539e-05,-0.01756614446640015,XArbitraryZVertical,0.02950345538556576,0.1682892143726349,-0.164882630109787,0.9713997840881348,0.3366814255714417,-0.001823363825678825,-0.9416165947914124
2018-10-13 13:00:10.025 -0400,5,1539450005.347001,42.39696533709694,-72.52476250328607,81.9389,-1,-1,10,65,-9999,1455.197311791667,0.324066162109375,0.0233917236328125,-0.963287353515625,1455.169815791667,-0.3365840617080253,0.3433910269322978,0.001823364823389671,-0.0347902700304985,0.002741963136941195,0.05622098594903946,0.00119394063949585,-8.398294448852539e-05,-0.01756614446640015,XArbitraryZVertical,0.02950345538556576,0.1682892143726349,-0.164882630109787,0.9713997840881348,0.3366814255714417,-0.001823363825678825,-0.9416165947914124
2018-10-13 13:00:10.282 -0400,6,1539450005.347001,42.39696533709694,-72.52476250328607,81.9389,-1,-1,10,65,-9999,1455.222335791667,0.3192138671875,0.007171630859375,-0.953826904296875,1455.194870791667,-0.3349803670486159,0.3429200878097258,0.001835309483515636,-0.01120154187083244,-0.01780274324119091,0.05328098684549332,-0.007395774126052856,0.02081723883748055,-0.01780444383621216,XArbitraryZVertical,0.02933565899729729,0.168083056807518,-0.1641095578670502,0.9715715050697327,0.3362379372119904,-0.001835308503359556,-0.9417750239372253
2018-10-13 13:00:10.294 -0400,7,1539450005.347001,42.39696533709694,-72.52476250328607,81.9389,-1,-1,10,65,-9999,1455.247390791667,0.328826904296875,0.025634765625,-0.9449615478515625,1455.219894791667,-0.3336940808898148,0.342275678823583,0.002687871749226361,0.0102333826944232,-0.02543899044394493,0.05890718102455139,-0.01324266195297241,0.01011889800429344,-0.0176050066947937,XArbitraryZVertical,0.02958906628191471,0.1677189320325851,-0.1634223759174347,0.9717427492141724,0.3356303572654724,-0.002687868429347873,-0.9419897198677063
2018-10-13 13:00:10.298 -0400,8,1539450005.347001,42.39696533709694,-72.52476250328607,81.9389,-1,-1,10,65,-9999,1455.272445791667,0.3285980224609375,0.0114593505859375,-0.9456329345703125,1455.244949791667,-0.3323783026050314,0.3419249074220694,0.003003756479764269,0.00286447536200285,-0.01473318412899971,0.0512804202735424,-0.01355275511741638,0.02517477050423622,-0.004121541976928711,XArbitraryZVertical,0.02960366010665894,0.1675421297550201,-0.1627616733312607,0.9718836545944214,0.3352996110916138,-0.003003751859068871,-0.9421065449714661
2018-10-13 13:00:10.302 -0400,9,1539450005.347001,42.39696533709694,-72.52476250328607,81.9389,-1,-1,10,65,-9999,1455.297470791667,0.3290863037109375,0.00244140625,-0.9518890380859375,1455.270004791667,-0.331552768721551,0.3415194841757067,0.003599233927395416,0.02247765101492405,-0.01393653266131878,0.03430889174342155,-0.004838824272155762,0.02029234170913696,-0.004674136638641357,XArbitraryZVertical,0.02979096211493015,0.1673088073730469,-0.1623165011405945,0.971992552280426,0.3349169492721558,-0.003599226241931319,-0.9422405362129211
2018-10-13 13:00:10.305 -0400,10,1539450005.347001,42.39696533709694,-72.52476250328607,81.9389,-1,-1,10,65,-9999,1455.322525791667,0.34185791015625,0.0106048583984375,-0.946441650390625,1455.295028791667,-0.33102848873518,0.3412504495719642,0.004084798386642676,0.03125113993883133,-0.002287865616381168,0.03007606603205204,-0.006415754556655884,0.01513214781880379,-0.002678453922271729,XArbitraryZVertical,0.02996126748621464,0.1671463400125504,-0.1620249450206757,0.9720640182495117,0.3346628248691559,-0.004084786865860224,-0.9423288702964783
2018-10-13 13:00:10.309 -0400,11,1539450005.347001,42.39696533709694,-72.52476250328607,81.9389,-1,-1,10,65,-9999,1455.347580791667,0.335418701171875,0.0163726806640625,-0.9337005615234375,1455.320083791667,-0.3303913795079839,0.3412495868256181,0.004430308767437903,0.01724313385784626,0.009648672305047512,0.03743771091103554,0.002725541591644287,0.01201391220092773,-0.005868673324584961,XArbitraryZVertical,0.03007587045431137,0.167127400636673,-0.1616863012313843,0.9721201062202454,0.3346615135669708,-0.004430294502526522,-0.9423277378082275
2018-10-13 13:00:10.313 -0400,12,1539450005.347001,42.39696533709694,-72.52476250328607,81.9389,-1,-1,10,65,-9999,1455.372604791667,0.315582275390625,0.0102996826171875,-0.9344329833984375,1455.345138791667,-0.3295223258458275,0.3414648655578403,0.004969821506806077,0.02575619518756866,0.01284925919026136,0.04934123903512955,0.008886486291885376,0.01522370800375938,0.001350581645965576,XArbitraryZVertical,0.03028282523155212,0.1672013998031616,-0.1612153351306915,0.972179114818573,0.334863543510437,-0.00496980082243681,-0.9422532916069031
2018-10-13 13:00:10.318 -0400,13,1539450005.347001,42.39696533709694,-72.52476250328607,81.9389,-1,-1,10,65,-9999,1455.397659791667,0.322601318359375,0.0137481689453125,-0.9561614990234375,1455.370163791667,-0.3285214044459871,0.3420644717133464,0.005150347638023644,-0.01598191633820534,0.04419564455747604,0.04453729465603828,-0.0151919424533844,0.00855303555727005,0.009419023990631104,XArbitraryZVertical,0.03033507242798805,0.1674934327602386,-0.1607045233249664,0.9722117781639099,0.3354281485080719,-0.005150324665009975,-0.9420514702796936
2018-10-13 13:00:10.340 -0400,14,1539450005.347001,42.39696533709694,-72.52476250328607,81.9389,-1,-1,10,65,-9999,1455.422713166667,0.3421783447265625,0.037933349609375,-0.967254638671875,1455.395218791667,-0.3274398597267902,0.3438143076540918,0.004065936702907828,-0.06604037433862686,0.08835012465715408,0.02244477719068527,-0.02317392826080322,0.02524512261152267,0.003876209259033203,XArbitraryZVertical,0.02985759079456329,0.1684477180242538,-0.1602439433336258,0.9721376895904541,0.3370777368545532,-0.004065925721079111,-0.9414677619934082
2018-10-13 13:00:10.474 -0400,15,1539450005.347001,42.39696533709694,-72.52476250328607,81.9389,-1,-1,10,65,-9999,1455.447737166667,0.344390869140625,0.02972412109375,-0.9501495361328125,1455.420271166667,-0.3262601706056238,0.3462164541559163,0.00247488114939603,-0.05527883768081665,0.09363216906785965,0.02792583033442497,-0.004592746496200562,0.03253469243645668,-0.02454972267150879,XArbitraryZVertical,0.02917679026722908,0.1697604060173035,-0.1597700715065002,0.9720079302787781,0.3393400907516479,-0.002474878681823611,-0.9406602382659912
2018-10-13 13:00:10.752 -0400,16,1539450005.347001,42.39696533709694,-72.52476250328607,81.9389,-1,-1,10,65,-9999,1455.472792166667,0.3595123291015625,0.060455322265625,-0.9536285400390625,1455.445296166667,-0.3254781196163148,0.3479347030268161,0.002229784826535343,0.004782054573297501,0.05675067007541656,0.02970202453434467,0.006181389093399048,0.02798661589622498,-0.02356195449829102,XArbitraryZVertical,0.02912822179496288,0.1706264317035675,-0.1593858450651169,0.9719209671020508,0.340956062078476,-0.002229782985523343,-0.9400763511657715
2018-10-13 13:00:10.803 -0400,17,1539450005.347001,42.39696533709694,-72.52476250328607,81.9389,-1,-1,10,65,-9999,1455.497847166667,0.38409423828125,0.1151275634765625,-0.937408447265625,1455.470351166667,-0.3252366449898915,0.3487091416784159,0.00262599072359994,0.04247939586639404,0.02315389364957809,0.009753083810210228,0.01335784792900085,0.05157618224620819,-0.007881760597229004,XArbitraryZVertical,0.02936180680990219,0.1709746569395065,-0.1592232584953308,0.9718794226646423,0.3416836559772491,-0.002625987632200122,-0.939811110496521
2018-10-13 13:00:10.816 -0400,18,1539450005.347001,42.39696533709694,-72.52476250328607,81.9389,-1,-1,10,65,-9999,1455.522872166667,0.4500579833984375,0.10540771484375,-0.991058349609375,1455.495406166667,-0.3266182075878081,0.3482114730565706,0.004225407564930649,0.1408524662256241,-0.04870546609163284,-0.06210872530937195,0.03198543190956116,0.07179131358861923,-0.01935940980911255,XArbitraryZVertical,0.03021721169352531,0.1705842167139053,-0.1597649902105331,0.9718329906463623,0.3412140309810638,-0.004225395154207945,-0.939975917339325
