loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G)
2018-10-13 01:15:23.005 -0400,1,1539407722.000196,42.39112920131757,-72.52711482352812,63.72714,0,125.15625,3,10,-9999,890188.1280758751,0.3834381103515625,0.0545196533203125,-0.9073944091796875,890188.1130618751,0.1965672291367791,0.3833922912594839,-0.03398989971419866,-0.05610169842839241,0.02947722375392914,-0.04387566074728966,0.01396480202674866,-0.01356709748506546,0.006714582443237305,XArbitraryZVertical,-0.03529490903019905,0.187940388917923,0.09309196472167969,0.9771215915679932,0.3738525807857513,0.03398335352540016,-0.9268653392791748
2018-10-13 01:15:23.256 -0400,2,1539407722.000196,42.39112920131757,-72.52711482352812,63.72714,0,125.15625,3,10,-9999,890188.1531308751,0.3881072998046875,0.0613861083984375,-0.89752197265625,890188.1381168751,0.1964276783973239,0.3838228055058951,-0.03574464176538131,-0.04872030392289162,0.02305218204855919,-0.03411996737122536,0.00920945405960083,0.01878262311220169,0.0192531943321228,XArbitraryZVertical,-0.03615851700305939,0.188065841794014,0.09284820407629013,0.9770890474319458,0.3742286562919617,0.03573703020811081,-0.9266476035118103
2018-10-13 01:15:23.265 -0400,3,1539407722.000196,42.39112920131757,-72.52711482352812,63.72714,0,125.15625,3,10,-9999,890188.1781858751,0.3563079833984375,0.04168701171875,-0.91668701171875,890188.1631408751,0.1943685036152761,0.3837801427683816,-0.03615588672480156,0.07430166006088257,-0.02587736025452614,-0.1691282540559769,0.03823095560073853,0.05459600687026978,0.02523690462112427,XArbitraryZVertical,-0.03616370633244514,0.188061848282814,0.09180355072021484,0.9771882891654968,0.3741835951805115,0.03614800795912743,-0.9266498684883118
2018-10-13 01:15:23.278 -0400,4,1539407722.000196,42.39112920131757,-72.52711482352812,63.72714,0,125.15625,3,10,-9999,890188.203210875,0.376861572265625,0.052032470703125,-0.9226531982421875,890188.188195875,0.191187797667511,0.3831548627511587,-0.03457514834637197,0.08337932080030441,-0.01168788969516754,-0.1056716442108154,-0.01731699705123901,0.007118754088878632,0.01024848222732544,XArbitraryZVertical,-0.03506436198949814,0.1878902465105057,0.09041165560483932,0.9773911833763123,0.3736249804496765,0.03456826135516167,-0.9269354939460754
2018-10-13 01:15:23.290 -0400,5,1539407722.000196,42.39112920131757,-72.52711482352812,63.72714,0,125.15625,3,10,-9999,890188.228264875,0.382110595703125,0.0189666748046875,-0.8997344970703125,890188.213250875,0.1876225261026861,0.3824369357663424,-0.03323264742633959,0.116561122238636,-0.06231774762272835,-0.1202708259224892,0.005823016166687012,0.01200052350759506,0.008987009525299072,XArbitraryZVertical,-0.03404172137379646,0.1876654326915741,0.08880969136953354,0.9776172637939453,0.3729763925075531,0.03322653099894524,-0.9272456765174866
2018-10-13 01:15:23.311 -0400,6,1539407723.000197,42.39112920131757,-72.52711482352812,63.73074,0,125.15625,3,10,-9999,890188.2533198751,0.39141845703125,0.02490234375,-0.874176025390625,890188.2382748751,0.1836520502531787,0.3811194100417722,-0.03260879150708425,0.1080695167183876,-0.06445622444152832,-0.1332508027553558,0.01019594073295593,-0.01021837070584297,0.03583335876464844,XArbitraryZVertical,-0.03330700471997261,0.1871175318956375,0.08695016801357269,0.9779146313667297,0.3717620372772217,0.03260301426053047,-0.9277553558349609
2018-10-13 01:15:23.316 -0400,7,1539407723.000197,42.39112920131757,-72.52711482352812,63.73074,0,125.15625,3,10,-9999,890188.2783448751,0.4157257080078125,-0.01922607421875,-0.8460845947265625,890188.2633298751,0.178668293594359,0.3791466483239715,-0.03124234347186476,0.1364906132221222,-0.0734906867146492,-0.1726681292057037,0.02147123217582703,-0.006334919482469559,0.05435144901275635,XArbitraryZVertical,-0.03208921104669571,0.1862969547510147,0.08467458188533783,0.9783115983009338,0.369947224855423,0.03123726136982441,-0.9285274744033813
2018-10-13 01:15:23.326 -0400,8,1539407723.000197,42.39112920131757,-72.52711482352812,63.73074,0,125.15625,3,10,-9999,890188.3033998751,0.4239044189453125,-0.02496337890625,-0.8059234619140625,890188.288384875,0.1741893198720253,0.3766792357403542,-0.0326726414172661,-0.07258966565132141,-0.07810571044683456,-0.1846038848161697,0.0420602560043335,-0.04997029155492783,0.09249615669250488,XArbitraryZVertical,-0.03226970136165619,0.185097798705101,0.08238811790943146,0.9787284135818481,0.3676382303237915,0.03266682848334312,-0.9293949604034424
2018-10-13 01:15:23.338 -0400,9,1539407723.000197,42.39112920131757,-72.52711482352812,63.73074,0,125.15625,3,10,-9999,890188.328454875,0.41558837890625,0.0417327880859375,-0.8063201904296875,890188.313408875,0.1713228148164829,0.3745352222807022,-0.03961360533377551,-0.291949450969696,-0.05818618461489677,-0.2224624454975128,0.05835142731666565,-0.06456662714481354,0.1240241527557373,XArbitraryZVertical,-0.03531329333782196,0.1837911158800125,0.08037061989307404,0.9790372252464294,0.3655529916286469,0.03960324451327324,-0.9299476146697998
2018-10-13 01:15:23.343 -0400,10,1539407723.000197,42.39112920131757,-72.52711482352812,63.73074,0,125.15625,3,10,-9999,890188.353478875,0.3974151611328125,0.0347747802734375,-0.82763671875,890188.338463875,0.1679123636965946,0.3738442540497853,-0.04678034082358612,-0.1211095824837685,-0.03312566876411438,-0.2453581690788269,0.05175235867500305,0.003743313252925873,0.1212112903594971,XArbitraryZVertical,-0.03847916796803474,0.183203250169754,0.07804331928491592,0.9792163372039795,0.3647973239421844,0.04676327854394913,-0.9299118518829346
